name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP     ,UP,TN     ,FN     ,UN
0eb58b69217c4ebbc57907d78a02f1d6,TCP     ,13347,12084,1    ,148,653,1  ,7042422,449703 ,15,865765 ,516    ,3
10c774e657315ee95dc8501cdfb7f3fa,UDP     ,15   ,1    ,350  ,15 ,1  ,350,0      ,0      ,0 ,0      ,0      ,0
11c8b98d184d12b146f526d8f293e7ec,TCP     ,6240 ,5965 ,1    ,939,32 ,1  ,8599135,416430 ,22,1096467,0      ,1
13c4541923cb7f9f87a328ecea0e4b65,UDP     ,12   ,1    ,83   ,12 ,1  ,83 ,5505443,0      ,0 ,1284491,167586 ,15
13dcbff6256ea2f72064d3f5a517f893,TCP     ,16326,14453,1    ,343,311,1  ,8858844,431407 ,21,1097041,0      ,0
14c2e0338c67991010edb19bd3ad4b8b,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,2769382,0      ,0 ,3131883,0      ,18
1523b980197e820973fdfcab295b4c18,TCP     ,21173,18110,1    ,273,165,1  ,8564365,432695 ,20,1085799,423    ,5
156405ae844c064eb64c411a7d338b94,TCP     ,9739 ,9096 ,1    ,634,81 ,1  ,8502668,421460 ,18,1056219,0      ,3
16b8ecd243672d692bbe5e2ecf1c6b36,TCP     ,7800 ,7350 ,1    ,721,218,1  ,7871936,380221 ,24,970371 ,0      ,1
16f884db8f87a4cc4b78a4c9a289fe91,TCP     ,10287,9508 ,1    ,510,80 ,1  ,8773418,419357 ,13,1115319,864    ,0
17172f1765db1df8162e6083e79a7f05,UDP     ,109  ,16   ,1    ,109,16 ,1  ,1117572,0      ,0 ,3135266,0      ,31
1852e5d6265f699a28aa435514e5bbcf,TCP     ,8774 ,8261 ,1    ,717,144,1  ,8057876,391929 ,34,998947 ,0      ,6
18b1b9218ae635dbb2b810548477627a,TCP     ,26886,22122,1    ,744,28 ,1  ,8748483,444818 ,26,1073608,0      ,0
190d042270655400a9d60d6ca87aca0f,UDP     ,16   ,1    ,16   ,16 ,1  ,16 ,3153097,10     ,0 ,2278782,21439  ,24
