name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN     ,FN     ,UN
5bdf5fc1273bda23ccaff90e5cffb40f,UDP     ,13     ,1        ,191      ,2000350,0 ,0 ,1244171,0      ,17
5c8e952b86c6f58a0635dd4a5bcd46e6,UDP     ,14     ,1        ,181      ,3068731,0 ,0 ,1244171,0      ,4
5cc22060a7e9457ee619db0c95efeadd,UDP     ,3      ,1        ,90       ,3223516,0 ,0 ,1159271,0      ,13
5d3064fec54e8e50c1eee178329cbed3,UDP     ,12     ,1        ,12       ,4316959,0 ,0 ,1102523,0      ,7
6174c4036ef81a53042d275341463199,TCP     ,2156   ,2350     ,1        ,0      ,0 ,0 ,0      ,0      ,0
6297de9c19ce35bb4738bd3687512a9a,UDP     ,6      ,1        ,95       ,1799470,0 ,0 ,1244171,0      ,23
6580a0015f03e7d63b56b7e2ca62908c,TCP     ,5048   ,4863     ,1        ,0      ,0 ,0 ,0      ,0      ,0
65be65eff3db76438f48cab4c215ca37,TCP     ,23     ,1        ,1        ,6577176,0 ,0 ,351948 ,33534  ,3
68387e4ccd91c2f0a78bd8050165b33a,UDP     ,2      ,1        ,63       ,2290330,0 ,0 ,1244171,21394  ,7
68a4dfd6ab5867239540d9492e83936b,TCP     ,1782   ,2010     ,1        ,0      ,0 ,0 ,0      ,0      ,0
6b443b1d79fc5ad00f9eaa65e08b5ae8,UDP     ,12     ,1        ,414      ,0      ,0 ,0 ,0      ,0      ,0
6c94d9829f082c1d8174d6086d840667,UDP     ,16     ,1        ,434      ,0      ,0 ,0 ,0      ,0      ,0
6f59ec06cb29413b932ee110eafb078e,TCP     ,3      ,339      ,1        ,142225 ,41,0 ,701609 ,7726338,8
71ff7d441d78589325be992853de0bc8,TCP     ,3156   ,11       ,1        ,0      ,0 ,0 ,0      ,0      ,0
72666503ae7af37518dbba7c85c80418,UDP     ,6      ,1        ,120      ,5415618,0 ,0 ,1244171,0      ,36
730279c40f615bb3d6957a6182043425,UDP     ,8      ,1        ,199      ,2809484,0 ,0 ,1244171,0      ,19
74c05a70914089e0dc3c39f4c4648aac,UDP     ,18     ,1        ,544      ,0      ,0 ,0 ,0      ,0      ,0
75954540322b27440ec08f7fa1d8cf07,TCP     ,24     ,1        ,1        ,7205798,0 ,0 ,446622 ,27880  ,6
7638c8061f9cb0dc0c3f7c614ac52725,TCP     ,1891   ,1868     ,1        ,0      ,0 ,0 ,0      ,0      ,0
778ac1da549ca9ed8a8f7b253cb8ede1,UDP     ,4      ,1        ,94       ,1506104,0 ,0 ,1244171,13946  ,24
79b09752725ef0dc754ddc73a4aab6aa,TCP     ,28     ,28       ,1        ,61888  ,0 ,0 ,639009 ,9490837,5
7a692d24819c8ec6ddc4e17b6eeff455,UDP     ,13     ,1        ,13       ,3286484,0 ,0 ,658229 ,0      ,5
7ad76e2a6a959ed4b06f02ec51dcf566,UDP     ,16     ,1        ,144      ,2045559,0 ,0 ,1244171,0      ,16
7be5d0b068e5df261431496286c1e86f,UDP     ,3      ,1        ,124      ,4036723,0 ,0 ,976529 ,0      ,3
