name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
26d9ccb748258b7ffced4190fdaf32ad,UDP     ,84   ,1    ,84   ,84 ,1  ,84 ,2156818,0     ,0 ,3135266,36456  ,50
28e6e65b854158d6721d0151943c148f,TCP     ,6588 ,6274 ,1    ,893,26 ,1  ,8651066,11719 ,6 ,1494617,0      ,13
2a515a5447e0770c541eb28115b7b968,TCP     ,13069,11830,1    ,432,28 ,1  ,8504837,12865 ,3 ,1467383,632    ,6
2aea4762adb27fef7e85e8db571ed5cd,TCP     ,7121 ,6741 ,1    ,826,1  ,1  ,7832009,11191 ,1 ,1373669,0      ,16
2bf238448118adaa7dc3695830b084af,UDP     ,24   ,1    ,292  ,24 ,1  ,292,996640 ,0     ,0 ,3135266,0      ,12
2cfc6e2d2b3f746f290fa07cd5f00a36,TCP     ,1779 ,1999 ,1    ,944,45 ,1  ,5885690,24369 ,0 ,1720964,1187752,31
2e72ed77eef73c62fc85c49a13a09b20,TCP     ,8026 ,7507 ,1    ,766,177,1  ,8346515,11751 ,4 ,1409643,2087   ,8
2ea180355c6612d69993431075783e86,UDP     ,6    ,1    ,135  ,6  ,1  ,135,1170727,0     ,0 ,3135266,0      ,9
2ea750d2b68231e4ad9879b07826bc45,TCP     ,10991,10128,1    ,167,823,1  ,8069075,12546 ,0 ,1385608,1486   ,12
327c4fea908ad500186f3b281ffd9c85,UDP     ,18   ,1    ,800  ,18 ,1  ,800,0      ,0     ,0 ,0      ,0      ,0
3301b2c6bccac62779ec816a372e8641,UDP     ,11   ,1    ,11   ,11 ,1  ,11 ,2498756,0     ,0 ,2959568,48505  ,25
33ae09c9c41578df56377e981ba2b9b0,TCP     ,11893,10867,1    ,525,54 ,1  ,7479360,10782 ,0 ,1279119,615    ,11
33bd295fd9249d26cd64cabb2a38b01b,UDP     ,2    ,1    ,78   ,2  ,1  ,78 ,1548751,0     ,0 ,3135266,0      ,38
342c8dc47de54c7a8227912526dffb79,TCP     ,1899 ,2039 ,1    ,973,14 ,1  ,6408362,49521 ,0 ,1839163,1314685,30
3523f48841358c9b44211cf5a121fea3,TCP     ,66295,41785,1    ,382,1  ,1  ,7475271,95634 ,0 ,1308885,0      ,15
354c40642f97b7fbabaf3a173ec44262,UDP     ,6    ,1    ,6    ,6  ,1  ,6  ,2768683,0     ,0 ,2999455,0      ,11
3669b53dd11909bb8b5f853c82910fd1,TCP     ,31653,25074,1    ,616,39 ,1  ,8543842,13398 ,0 ,1511052,836    ,12
369908ecd451ad538aeafb9b595e09eb,TCP     ,12046,10974,1    ,148,719,1  ,6558719,9931  ,0 ,1106845,1079   ,9
3706b4fd3c92194e6116cb0f40e6c93b,TCP     ,5896 ,5635 ,1    ,977,17 ,1  ,8385802,11894 ,0 ,1440632,0      ,25
380b2fa846c7b041de49fd565bc4b231,UDP     ,11   ,1    ,11   ,11 ,1  ,11 ,3714811,0     ,0 ,2739327,0      ,16
38aa4663e153972e6b63317631dfbb7f,TCP     ,15636,13922,1    ,359,459,1  ,8465192,12724 ,0 ,1460702,0      ,25
3b79981e8f1f92219add8c943c77d007,UDP     ,12   ,1    ,275  ,12 ,1  ,275,1685172,0     ,0 ,3135266,0      ,11
3dac5ef83a9e34371bd7c3c0733cd36b,TCP     ,6952 ,6580 ,1    ,879,10 ,1  ,0      ,0     ,0 ,0      ,0      ,0
3e04da1987736f143f2a69ca98ac95cc,UDP     ,11   ,1    ,178  ,11 ,1  ,178,1551360,0     ,0 ,3135265,0      ,5
402db11d6885de5d2c0fed4982321120,TCP     ,14714,13166,1    ,373,467,1  ,8629063,12745 ,0 ,1482726,569    ,13
