name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN    ,FN     ,UN
190d042270655400a9d60d6ca87aca0f,UDP     ,16     ,1        ,16       ,1594891,0 ,0 ,309553,103393 ,1
1a2e433cfed7bde38732f0892fbbff27,UDP     ,8      ,1        ,8        ,1505692,0 ,0 ,199541,0      ,3
1f14abf0891dd4b866da7e0621430fbd,UDP     ,270    ,9        ,1        ,220406 ,0 ,0 ,493107,608447 ,4
2130bfd08fae290ef08e562aefdb21b9,UDP     ,11     ,1        ,11       ,1615244,0 ,0 ,439434,56745  ,12
21e08bf3cd571a2fdeec359798324263,TCP     ,137    ,4131     ,1        ,0      ,0 ,0 ,0     ,0      ,0
26d9ccb748258b7ffced4190fdaf32ad,UDP     ,84     ,1        ,84       ,1380382,0 ,0 ,493107,23328  ,6
2bf238448118adaa7dc3695830b084af,UDP     ,24     ,1        ,292      ,635898 ,0 ,0 ,493107,1962   ,5
2cfc6e2d2b3f746f290fa07cd5f00a36,TCP     ,1779   ,1999     ,1        ,0      ,0 ,0 ,0     ,0      ,0
2ea180355c6612d69993431075783e86,UDP     ,6      ,1        ,135      ,749263 ,0 ,0 ,493107,0      ,5
31dfe0457ff50ce9ed214c8a77e635c4,TCP     ,332    ,3784     ,1        ,0      ,0 ,0 ,0     ,0      ,0
327c4fea908ad500186f3b281ffd9c85,UDP     ,18     ,1        ,800      ,0      ,0 ,0 ,0     ,0      ,0
3301b2c6bccac62779ec816a372e8641,UDP     ,11     ,1        ,11       ,1563891,0 ,0 ,459443,30363  ,2
3332a164aad6e53089f60a486e477acd,TCP     ,3      ,1        ,3        ,21948  ,0 ,0 ,243582,4873490,0
33bd295fd9249d26cd64cabb2a38b01b,UDP     ,2      ,1        ,78       ,976018 ,0 ,0 ,493107,55699  ,3
342c8dc47de54c7a8227912526dffb79,TCP     ,1899   ,2039     ,1        ,0      ,0 ,0 ,0     ,0      ,0
354c40642f97b7fbabaf3a173ec44262,UDP     ,6      ,1        ,6        ,1605746,0 ,0 ,428355,0      ,5
380b2fa846c7b041de49fd565bc4b231,UDP     ,11     ,1        ,11       ,1665497,0 ,0 ,311186,0      ,2
3b79981e8f1f92219add8c943c77d007,UDP     ,12     ,1        ,275      ,1073488,0 ,0 ,493107,5046   ,3
3e04da1987736f143f2a69ca98ac95cc,UDP     ,11     ,1        ,178      ,987323 ,0 ,0 ,493107,5547   ,6
424ffcf42e438f67894582d8cef6dd4e,UDP     ,7      ,1        ,7        ,1587472,0 ,0 ,341245,0      ,1
4438d16f17dbe7e31d69305dd7892080,UDP     ,7      ,1        ,7        ,1484117,0 ,0 ,311452,0      ,1
44d4d7003771cd49b724bbbff150fb06,UDP     ,6      ,1        ,6        ,1571546,0 ,0 ,173247,0      ,2
45cb858201114ef20e94ce24ba917d8d,UDP     ,8      ,1        ,8        ,1517616,0 ,0 ,407997,0      ,5
48c48a867ca52d948973303bc721b39f,UDP     ,1099   ,13       ,1        ,0      ,0 ,0 ,0     ,0      ,0
4ec7852e4c729d611323013f1afe775b,TCP     ,1784   ,2004     ,1        ,0      ,0 ,0 ,0     ,0      ,0
524daa91009bad8692f7770dc61beb72,UDP     ,16     ,1        ,282      ,1263961,0 ,0 ,493107,4144   ,1
53a2d63780a514261970a776520c571c,UDP     ,5      ,1        ,71       ,1599897,0 ,0 ,395557,0      ,1
54d21d48c65ec87809c0adbe71109388,TCP     ,1721   ,1697     ,1        ,0      ,0 ,0 ,0     ,0      ,0
54d639d921ceef8060eb804a5672749b,UDP     ,4      ,1        ,122      ,2394227,0 ,0 ,493107,3714   ,4
55e711623f86622365194f1ee1fb9a7e,UDP     ,3      ,1        ,51       ,1155360,0 ,0 ,493107,45308  ,2
565f16c101f6e26f25cbdc0f0258e04b,UDP     ,12     ,1        ,310      ,803462 ,0 ,0 ,493107,0      ,3
5745d17a8591ba66f264c19a9aa00320,UDP     ,6      ,1        ,225      ,1734485,0 ,0 ,344558,6497   ,3
5749449ca122e8a203a530586a1f28f2,UDP     ,23     ,1        ,23       ,1689952,0 ,0 ,400038,0      ,5
586e3f0c5363df2a5ca9b53248b9ba74,TCP     ,2159   ,2113     ,1        ,0      ,0 ,0 ,0     ,0      ,0
58c00bfa1a7cdeed42dec16b50b7a299,UDP     ,3      ,1        ,112      ,2395590,0 ,0 ,493107,18568  ,2
5bdf5fc1273bda23ccaff90e5cffb40f,UDP     ,13     ,1        ,191      ,749146 ,0 ,0 ,493107,50990  ,5
5c8e952b86c6f58a0635dd4a5bcd46e6,UDP     ,14     ,1        ,181      ,1181785,0 ,0 ,493107,45705  ,30
5cc22060a7e9457ee619db0c95efeadd,UDP     ,3      ,1        ,90       ,1285255,0 ,0 ,463063,14299  ,1
5d3064fec54e8e50c1eee178329cbed3,UDP     ,12     ,1        ,12       ,1525129,0 ,0 ,386917,0      ,3
6174c4036ef81a53042d275341463199,TCP     ,2156   ,2350     ,1        ,0      ,0 ,0 ,0     ,0      ,0
6297de9c19ce35bb4738bd3687512a9a,UDP     ,6      ,1        ,95       ,670398 ,0 ,0 ,493107,49396  ,2
6580a0015f03e7d63b56b7e2ca62908c,TCP     ,5048   ,4863     ,1        ,0      ,0 ,0 ,0     ,0      ,0
65be65eff3db76438f48cab4c215ca37,TCP     ,23     ,1        ,1        ,4187089,0 ,0 ,194550,40165  ,1
68387e4ccd91c2f0a78bd8050165b33a,UDP     ,2      ,1        ,63       ,895682 ,0 ,0 ,493107,8450   ,12
68a4dfd6ab5867239540d9492e83936b,TCP     ,1782   ,2010     ,1        ,0      ,0 ,0 ,0     ,0      ,0
6b443b1d79fc5ad00f9eaa65e08b5ae8,UDP     ,12     ,1        ,414      ,1075699,0 ,0 ,493107,5171   ,2
6c94d9829f082c1d8174d6086d840667,UDP     ,16     ,1        ,434      ,685633 ,0 ,0 ,493107,0      ,1
6f59ec06cb29413b932ee110eafb078e,TCP     ,3      ,339      ,1        ,26232  ,0 ,0 ,316861,3642866,3
71ff7d441d78589325be992853de0bc8,TCP     ,3156   ,11       ,1        ,0      ,0 ,0 ,0     ,0      ,0
72666503ae7af37518dbba7c85c80418,UDP     ,6      ,1        ,120      ,2151105,0 ,0 ,493106,15160  ,602
730279c40f615bb3d6957a6182043425,UDP     ,8      ,1        ,199      ,1123785,0 ,0 ,493107,0      ,2
74c05a70914089e0dc3c39f4c4648aac,UDP     ,18     ,1        ,544      ,0      ,0 ,0 ,0     ,0      ,0
75954540322b27440ec08f7fa1d8cf07,TCP     ,24     ,1        ,1        ,2883078,0 ,0 ,188969,11611  ,210
7638c8061f9cb0dc0c3f7c614ac52725,TCP     ,1891   ,1868     ,1        ,0      ,0 ,0 ,0     ,0      ,0
778ac1da549ca9ed8a8f7b253cb8ede1,UDP     ,4      ,1        ,94       ,602438 ,0 ,0 ,493107,5579   ,6
79b09752725ef0dc754ddc73a4aab6aa,TCP     ,28     ,28       ,1        ,12338  ,0 ,0 ,261477,3826660,15
7a692d24819c8ec6ddc4e17b6eeff455,UDP     ,13     ,1        ,13       ,1471917,0 ,0 ,293243,0      ,3
7ad76e2a6a959ed4b06f02ec51dcf566,UDP     ,16     ,1        ,144      ,818221 ,0 ,0 ,493107,0      ,7
7be5d0b068e5df261431496286c1e86f,UDP     ,3      ,1        ,124      ,1736722,0 ,0 ,415735,0      ,9
7c48b9dc3286acde9c1419cd07be1c7d,UDP     ,6      ,1        ,137      ,673246 ,0 ,0 ,493107,8415   ,8
7c909649f4ec0dd3a88867641bacd056,TCP     ,3425   ,19       ,1        ,0      ,0 ,0 ,0     ,0      ,0
7f2b2ef41a396bbd0269a4801fd84274,UDP     ,37     ,1        ,37       ,1345862,0 ,0 ,493107,0      ,9
7fc0cd836b1f8b32bae78b6cd7cacf46,TCP     ,1906   ,2047     ,1        ,0      ,0 ,0 ,0     ,0      ,0
7ff63ada8c94b8d6064aa26f7e9efbac,UDP     ,15     ,1        ,172      ,617132 ,0 ,0 ,493107,50232  ,3
8300a94be92bd2f0ecf489eee728b626,UDP     ,5      ,1        ,132      ,1110553,0 ,0 ,493107,10764  ,1
